idT,idM,idK,rmsX,rmsY,rmsZ,aRms,aPeakX,aPeakY,aPeakZ,aPeak,latitude,longitude,vreme,brzina,maxX,maxY,maxZ,opis
3933,96,13,0.0833,0.0957,0.2923,0.3186,-0.2077,0.0185,-0.9308,0.9538,43.8770016,20.3503466,2016-01-19-07-24-49,63.1743,0.225478768,-0.3192783,-0.930754662,its vezbe
3934,96,13,0.1112,0.1341,0.3338,0.3765,0.2323,0.1302,1.0023,1.037,43.8772566,20.3527933,2016-01-19-07-25-00,63.6913,-0.377696455,-0.361379147,1.002257347,its vezbe
3935,96,13,0.1051,0.1313,0.3538,0.3918,0.0833,0.0917,1.0761,1.0833,43.8777683,20.354905,2016-01-19-07-25-10,64.6048,-0.298340619,-0.423290968,1.076141357,its vezbe
3936,96,13,0.1044,0.1063,0.3533,0.3834,-0.0837,0.0529,-1.2354,1.2393,43.8780416,20.3561583,2016-01-19-07-25-16,61.3139,0.275790334,-0.287745595,-1.235387325,its vezbe
3937,96,13,0.1099,0.1212,0.355,0.3909,-0.1433,-0.0253,2.0571,2.0622,43.8784016,20.359055,2016-01-19-07-25-30,55.5585,-0.590718746,-0.549393296,2.057050705,its vezbe
3938,96,13,0.1858,0.1356,0.422,0.4806,0.2779,0.074,1.6215,1.6468,43.8785783,20.361155,2016-01-19-07-25-41,55.3621,-0.85398066,-0.508310616,1.62149334,its vezbe
3939,96,13,0.1557,0.1181,0.4207,0.4639,0.0027,-0.0521,1.6151,1.6159,43.8787316,20.3631516,2016-01-19-07-25-51,59.6184,0.621881247,-0.377634823,1.615056038,its vezbe
3940,96,13,0.1377,0.1375,0.5445,0.5782,-0.3299,0.3788,-1.9425,2.0064,43.8788666,20.3646166,2016-01-19-07-25-58,61.0563,-0.401908517,-0.424839497,1.955641747,its vezbe
3941,96,13,0.1319,0.1522,0.4224,0.4679,0.5475,0.0095,2.4265,2.4876,43.879175,20.3673383,2016-01-19-07-26-11,61.7197,-0.61512208,0.684812069,2.426537514,its vezbe
3942,96,13,0.1014,0.1123,0.2672,0.3071,0.0003,-0.1802,-1.0624,1.0776,43.8795016,20.3687,2016-01-19-07-26-18,58.7994,0.382000685,-0.274286926,-1.062383652,its vezbe
3943,96,13,0.1094,0.1136,0.2972,0.3365,0.0993,0.2348,1.0241,1.0554,43.8801233,20.3703516,2016-01-19-07-26-27,60.8081,0.327059507,-0.292123526,1.024112701,its vezbe
3944,96,13,0.1102,0.1136,0.3349,0.3704,0.239,0.0388,1.1814,1.206,43.880995,20.3722333,2016-01-19-07-26-38,58.1471,-0.511422753,-0.364021242,1.181426048,its vezbe
3945,96,13,0.135,0.1393,0.3328,0.3853,0.6972,-0.4619,1.1517,1.4233,43.881935,20.3743916,2016-01-19-07-26-50,61.8105,0.697150946,0.476827145,1.151689529,its vezbe
3946,96,13,0.1119,0.1256,0.3013,0.3451,0.1501,-0.0407,0.9294,0.9423,43.88258,20.3758216,2016-01-19-07-26-58,61.577,-0.433137953,0.425158262,0.929388046,its vezbe
3947,96,13,0.1342,0.158,0.3889,0.4407,0.1287,-0.3589,1.2224,1.2805,43.8838866,20.3780433,2016-01-19-07-27-11,64.8142,-0.510080338,0.579344511,1.222430229,its vezbe
